SourceFile,FileName,GPSLatitude,GPSLongitude,GPSLatitudeRef,GPSLongitudeRef,DateTimeOriginal
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0052.MP4,IMG_0052.MP4,"64 deg 8' 48.84"" N","21 deg 55' 42.96"" W",,,
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0084.HEIC,IMG_0084.HEIC,"64 deg 0' 8.02"" N","22 deg 33' 7.15"" W",North,West,2026:05:15 12:55:24
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0084.MP4,IMG_0084.MP4,"64 deg 0' 7.92"" N","22 deg 33' 7.20"" W",,,
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0088.HEIC,IMG_0088.HEIC,"64 deg 0' 9.92"" N","22 deg 33' 5.55"" W",North,West,2026:05:15 12:56:31
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0088.MP4,IMG_0088.MP4,"64 deg 0' 10.08"" N","22 deg 33' 5.40"" W",,,
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0089.HEIC,IMG_0089.HEIC,"64 deg 0' 19.75"" N","22 deg 33' 23.43"" W",North,West,2026:05:15 13:03:59
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0089.MP4,IMG_0089.MP4,"64 deg 0' 19.80"" N","22 deg 33' 23.40"" W",,,
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0090.HEIC,IMG_0090.HEIC,"64 deg 0' 20.02"" N","22 deg 33' 23.52"" W",North,West,2026:05:15 13:04:16
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0090.MP4,IMG_0090.MP4,"64 deg 0' 20.16"" N","22 deg 33' 23.40"" W",,,
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0091.HEIC,IMG_0091.HEIC,"64 deg 0' 20.19"" N","22 deg 33' 23.54"" W",North,West,2026:05:15 13:04:33
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0091.MP4,IMG_0091.MP4,"64 deg 0' 20.16"" N","22 deg 33' 23.40"" W",,,
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0092.HEIC,IMG_0092.HEIC,"64 deg 0' 20.19"" N","22 deg 33' 23.54"" W",North,West,2026:05:15 13:04:35
C:/Projects/iceland_trip/photos/Iceland Trip/IMG_0092.MP4,IMG_0092.MP4,"64 deg 0' 20.16"" N","22 deg 33' 23.40"" W",,,
